Crime_ID,Date,Time,Time_Slot,Area,Police_Station,Latitude,Longitude,Crime_Type,Street_Lighting_Score,Crowd_Density,Nearby_Police_km,Nearby_Hospital_km,Known_Dark_Spot,Risk_Score,Risk_Level,Area_Risk_Priority,
NAG2025_0023,2025-08-02,01:49,Night,Yashodhara Nagar,Yashodhara Nagar,21.18015,79.12796,Stalking,6,Medium,0.3,4.79,TRUE,96,High,4,
NAG2025_0024,2025-08-06,19:01,Evening,Seminary Hills,Seminary Hills,21.16263,79.05127,Eve Teasing,10,Low,2.19,2.01,FALSE,62,Medium,27,
NAG2025_0025,2025-05-11,20:56,Evening,Ajni,Ajni,21.12351,79.07762,Stalking,3,Low,0.28,2.8,FALSE,100,High,11,
NAG2025_0026,2025-05-16,10:52,Morning,Beltarodi,Beltarodi,21.07648,79.07311,Eve Teasing,6,Medium,3.82,1.72,FALSE,44,Medium,2,
NAG2025_0027,2025-07-04,03:45,Night,Lashkaribagh,Lashkaribagh,21.16492,79.1042,Stalking,4,Medium,1.52,4.33,FALSE,87,High,20,
NAG2025_0028,2025-07-30,13:40,Afternoon,Pardi,Pardi,21.14775,79.16427,Stalking,3,Medium,0.23,1.9,FALSE,80,High,8,
NAG2025_0029,2025-02-21,19:08,Evening,Hingna,Hingna,21.06661,79.02216,Molestation,1,Medium,4.28,3.54,TRUE,95,High,7,
NAG2025_0030,2025-02-13,05:06,Night,Hingna,Hingna,21.07162,79.03014,Kidnapping,3,High,1.8,1.45,TRUE,100,High,7,
NAG2025_0031,2025-11-19,15:12,Afternoon,Ajni,Ajni,21.1233,79.08027,Sexual Harassment,1,High,3.31,4.71,FALSE,69,High,11,
NAG2025_0032,2025-03-16,08:34,Morning,Ajni,Ajni,21.13045,79.08271,Stalking,3,Low,0.76,3.4,FALSE,95,High,11,
NAG2025_0033,2025-02-24,18:08,Evening,Besa,Besa,21.08216,79.08733,Domestic Violence,6,Medium,4.4,3.69,FALSE,64,Medium,12,
NAG2025_0034,2025-08-22,19:43,Evening,Nandanvan,Nandanvan,21.13727,79.13173,Eve Teasing,10,Medium,0.53,4.88,FALSE,62,Medium,23,
NAG2025_0035,2025-12-03,19:58,Evening,Yashodhara Nagar,Yashodhara Nagar,21.18346,79.12237,Domestic Violence,8,Medium,1.05,4.07,TRUE,87,High,4,
NAG2025_0036,2025-10-18,18:28,Evening,Mahal,Mahal,21.14608,79.11125,Kidnapping,3,Medium,1.78,0.77,FALSE,89,High,6,
NAG2025_0037,2025-05-31,06:17,Morning,Yashodhara Nagar,Yashodhara Nagar,21.18229,79.12337,Molestation,10,Medium,2.13,0.3,FALSE,44,Medium,4,
NAG2025_0038,2025-04-18,05:33,Night,Mahal,Mahal,21.145,79.11638,Assault,7,Medium,1.79,4.63,FALSE,63,Medium,6,
NAG2025_0039,2025-09-05,20:54,Evening,Sadar,Sadar,21.16048,79.0718,Sexual Harassment,6,Low,3.83,3.25,FALSE,82,High,26,
NAG2025_0040,2025-10-12,19:05,Evening,Sitabuldi,Sitabuldi,21.14579,79.09002,Domestic Violence,4,Medium,0.25,0.66,FALSE,79,High,5,
NAG2025_0041,2025-01-15,18:06,Evening,Mahalaxmi Nagar,Mahalaxmi Nagar,21.10089,79.1171,Molestation,5,High,0.41,2.84,FALSE,63,Medium,9,
NAG2025_0042,2025-09-08,15:16,Afternoon,Wathoda,Wathoda,21.13758,79.13814,Molestation,6,High,0.38,2.55,TRUE,80,High,30,
NAG2025_0043,2025-04-22,03:19,Night,Yashodhara Nagar,Yashodhara Nagar,21.18439,79.12268,Molestation,10,Low,2.17,0.51,FALSE,71,High,4,
NAG2025_0044,2025-11-02,10:33,Morning,Lakadganj,Lakadganj,21.15686,79.11576,Domestic Violence,6,Medium,3.37,1.93,TRUE,75,High,19,
NAG2025_0045,2025-02-24,03:40,Night,Panchpaoli,Panchpaoli,21.15493,79.09774,Assault,10,High,0.34,1.36,FALSE,62,Medium,24,
NAG2025_0046,2025-12-14,23:35,Night,Beltarodi,Beltarodi,21.07232,79.08083,Stalking,6,Medium,3.32,2.76,FALSE,65,Medium,2,
NAG2025_0047,2025-12-08,21:51,Night,Jaripatka,Jaripatka,21.18411,79.08253,Eve Teasing,1,Low,1.64,4.13,FALSE,100,High,17,
NAG2025_0048,2025-11-25,23:26,Night,Ganeshpeth,Ganeshpeth,21.13656,79.09262,Stalking,10,Medium,2.82,0.34,FALSE,51,Medium,14,
NAG2025_0049,2025-08-30,16:02,Afternoon,Sadar,Sadar,21.16262,79.07593,Eve Teasing,1,Low,1.89,4.25,FALSE,97,High,26,
NAG2025_0050,2025-04-13,11:27,Morning,Sitabuldi,Sitabuldi,21.13827,79.08714,Kidnapping,3,Low,3.38,2.57,FALSE,79,High,5,
NAG2025_0051,2025-08-14,14:40,Afternoon,Wardha Road,Wardha Road,21.1076,79.06814,Molestation,9,Medium,0.64,4.51,FALSE,43,Medium,29,
NAG2025_0052,2025-04-07,11:27,Morning,Hudkeshwar,Hudkeshwar,21.09292,79.12822,Eve Teasing,7,Low,4.86,3.31,FALSE,66,Medium,1,
NAG2025_0053,2025-03-12,02:31,Night,Sitabuldi,Sitabuldi,21.14164,79.08221,Domestic Violence,2,High,2.89,4.85,FALSE,81,High,5,
NAG2025_0054,2025-08-28,12:29,Afternoon,Kotwali,Kotwali,21.14978,79.1097,Molestation,6,Medium,4.02,4.14,FALSE,58,Medium,18,
NAG2025_0055,2025-11-27,17:24,Evening,Sitabuldi,Sitabuldi,21.1388,79.08253,Domestic Violence,10,High,3.14,2.8,TRUE,49,Medium,5,
NAG2025_0056,2025-02-06,06:47,Morning,Hudkeshwar,Hudkeshwar,21.08969,79.12368,Kidnapping,10,Medium,3.72,4.31,TRUE,49,Medium,1,
NAG2025_0057,2025-06-10,13:32,Afternoon,Wathoda,Wathoda,21.13529,79.13868,Domestic Violence,7,Low,1.4,1.08,FALSE,59,Medium,30,
NAG2025_0058,2025-08-27,12:33,Afternoon,Mahalaxmi Nagar,Mahalaxmi Nagar,21.09865,79.12069,Domestic Violence,3,Low,4.33,1.71,FALSE,84,High,9,
NAG2025_0059,2025-04-22,19:51,Evening,Kotwali,Kotwali,21.144,79.1117,Eve Teasing,10,Low,1.02,2.15,TRUE,77,High,18,
NAG2025_0060,2025-05-17,13:33,Afternoon,Seminary Hills,Seminary Hills,21.16502,79.0501,Eve Teasing,6,Low,1.0,4.58,FALSE,80,High,27,
NAG2025_0061,2025-09-21,11:29,Morning,Panchpaoli,Panchpaoli,21.15296,79.09709,Sexual Harassment,1,High,4.53,4.84,FALSE,75,High,24,
NAG2025_0062,2025-01-23,10:41,Morning,Hudkeshwar,Hudkeshwar,21.08668,79.12852,Molestation,8,High,0.54,3.56,TRUE,67,Medium,1,
NAG2025_0063,2025-08-26,16:25,Afternoon,Telangkhedi,Telangkhedi,21.15871,79.04928,Eve Teasing,2,Low,0.27,2.05,TRUE,100,High,10,
NAG2025_0064,2025-12-02,14:41,Afternoon,Kalamna,Kalamna,21.15191,79.14186,Domestic Violence,3,Medium,0.29,0.56,FALSE,89,High,3,
NAG2025_0065,2025-06-15,23:43,Night,Kotwali,Kotwali,21.14564,79.10543,Kidnapping,3,Medium,0.75,0.21,FALSE,100,High,18,
NAG2025_0066,2025-11-29,16:01,Afternoon,Telangkhedi,Telangkhedi,21.1575,79.05,Domestic Violence,5,Low,2.01,1.37,FALSE,76,High,10,
NAG2025_0067,2025-03-31,02:58,Night,Lakadganj,Lakadganj,21.15486,79.11584,Domestic Violence,8,Medium,1.36,2.46,FALSE,72,High,19,
NAG2025_0068,2025-07-28,19:09,Evening,Telangkhedi,Telangkhedi,21.15993,79.04546,Eve Teasing,5,Low,3.12,4.75,FALSE,80,High,10,
NAG2025_0069,2025-08-13,03:17,Night,Pardi,Pardi,21.14085,79.15757,Molestation,8,High,4.19,1.4,FALSE,49,Medium,8,
NAG2025_0070,2025-05-31,07:44,Morning,Sitabuldi,Sitabuldi,21.14112,79.08379,Sexual Harassment,7,Low,3.52,1.76,FALSE,55,Medium,5,
NAG2025_0071,2025-05-15,20:44,Evening,Beltarodi,Beltarodi,21.07356,79.07758,Molestation,6,High,2.37,1.04,TRUE,79,High,2,
NAG2025_0072,2025-09-12,09:40,Morning,Manewada,Manewada,21.09352,79.11176,Sexual Harassment,1,Medium,3.74,4.04,FALSE,78,High,22,
NAG2025_0073,2025-12-07,05:18,Night,Manewada,Manewada,21.09278,79.11019,Kidnapping,10,Medium,4.19,1.88,FALSE,47,Medium,22,
NAG2025_0074,2025-10-27,00:35,Night,Hingna,Hingna,21.07052,79.02666,Assault,7,Medium,3.77,4.38,TRUE,81,High,7,
NAG2025_0075,2025-10-07,19:01,Evening,Mahalaxmi Nagar,Mahalaxmi Nagar,21.09877,79.12537,Eve Teasing,2,High,0.76,2.11,FALSE,77,High,9,
NAG2025_0076,2025-02-03,12:06,Afternoon,Telangkhedi,Telangkhedi,21.16212,79.04531,Molestation,6,Medium,2.41,2.19,FALSE,61,Medium,10,
NAG2025_0077,2025-05-02,12:22,Afternoon,Kalamna,Kalamna,21.15752,79.14487,Molestation,3,Medium,4.76,4.6,FALSE,67,Medium,3,
NAG2025_0078,2025-09-12,12:28,Afternoon,Lashkaribagh,Lashkaribagh,21.16775,79.09581,Eve Teasing,1,Medium,1.89,0.67,TRUE,94,High,20,
NAG2025_0079,2025-03-14,07:00,Morning,Nandanvan,Nandanvan,21.13635,79.12809,Molestation,10,Medium,1.68,3.92,FALSE,35,Low,23,
NAG2025_0080,2025-06-13,10:16,Morning,Yashodhara Nagar,Yashodhara Nagar,21.18617,79.12145,Kidnapping,7,High,4.36,1.69,FALSE,41,Low,4,
NAG2025_0081,2025-05-14,19:26,Evening,Kalamna,Kalamna,21.15373,79.13661,Sexual Harassment,4,High,3.91,3.03,TRUE,86,High,3,
NAG2025_0082,2025-11-01,07:38,Morning,Sitabuldi,Sitabuldi,21.14064,79.08321,Sexual Harassment,6,Medium,3.69,4.81,TRUE,71,High,5,
NAG2025_0083,2025-12-15,03:48,Night,Nandanvan,Nandanvan,21.13991,79.12873,Stalking,8,Medium,2.93,1.92,FALSE,60,Medium,23,
NAG2025_0084,2025-12-30,17:55,Evening,Mahal,Mahal,21.14072,79.11195,Molestation,5,Medium,2.81,0.46,FALSE,66,Medium,6,
NAG2025_0085,2025-04-28,12:04,Afternoon,Hingna,Hingna,21.07537,79.02996,Molestation,3,Low,1.96,4.37,FALSE,81,High,7,
NAG2025_0086,2025-03-01,09:14,Morning,Lakadganj,Lakadganj,21.15457,79.1191,Eve Teasing,2,High,4.01,0.54,FALSE,66,Medium,19,
NAG2025_0087,2025-07-09,08:26,Morning,Hingna,Hingna,21.0676,79.03013,Sexual Harassment,9,Medium,4.01,1.11,TRUE,57,Medium,7,
NAG2025_0088,2025-10-21,22:29,Night,Yashodhara Nagar,Yashodhara Nagar,21.18615,79.12605,Sexual Harassment,7,High,2.32,3.25,FALSE,55,Medium,4,
NAG2025_0089,2025-03-19,05:39,Night,Ajni,Ajni,21.12964,79.08164,Molestation,4,Medium,3.86,3.51,TRUE,92,High,11,
NAG2025_0090,2025-12-10,02:36,Night,Mahalaxmi Nagar,Mahalaxmi Nagar,21.0956,79.1193,Eve Teasing,2,Low,1.25,1.83,TRUE,100,High,9,
NAG2025_0091,2025-03-18,13:10,Afternoon,Beltarodi,Beltarodi,21.07565,79.07912,Domestic Violence,4,Medium,3.48,2.07,FALSE,60,Medium,2,
NAG2025_0092,2025-05-27,23:39,Night,Kalamna,Kalamna,21.15714,79.14565,Domestic Violence,9,Low,2.87,4.27,TRUE,85,High,3,
NAG2025_0093,2025-06-07,12:13,Afternoon,Nandanvan,Nandanvan,21.13413,79.12569,Molestation,2,Low,3.45,2.19,FALSE,77,High,23,
NAG2025_0094,2025-04-14,09:05,Morning,Beltarodi,Beltarodi,21.07963,79.08132,Eve Teasing,4,High,0.25,4.93,TRUE,88,High,2,
NAG2025_0095,2025-11-12,05:47,Night,Sitabuldi,Sitabuldi,21.14052,79.0919,Kidnapping,4,Low,4.24,2.96,FALSE,95,High,5,
NAG2025_0096,2025-11-21,14:35,Afternoon,Lakadganj,Lakadganj,21.14982,79.11928,Kidnapping,9,Medium,2.13,4.33,TRUE,66,Medium,19,
NAG2025_0097,2025-03-16,21:30,Night,Pratap Nagar,Pratap Nagar,21.11176,79.05583,Stalking,8,Medium,3.63,3.3,FALSE,54,Medium,25,
NAG2025_0098,2025-01-20,12:07,Afternoon,Beltarodi,Beltarodi,21.07444,79.07867,Molestation,9,Medium,1.03,4.53,FALSE,41,Low,2,
NAG2025_0099,2025-08-10,15:35,Afternoon,Kalamna,Kalamna,21.15556,79.13806,Stalking,4,Low,2.0,1.97,TRUE,98,High,3,
NAG2025_0100,2025-06-19,13:46,Afternoon,Kotwali,Kotwali,21.14815,79.11258,Molestation,9,Low,1.13,1.49,TRUE,72,High,18,
NAG2025_0101,2025-05-29,21:17,Night,Dharampeth,Dharampeth,21.13696,79.0612,Domestic Violence,2,Medium,1.52,4.47,FALSE,100,High,13,
NAG2025_0102,2025-12-24,12:07,Afternoon,Hudkeshwar,Hudkeshwar,21.08965,79.12725,Domestic Violence,5,Low,0.46,4.36,TRUE,97,High,1,
NAG2025_0103,2025-03-29,14:58,Afternoon,Kotwali,Kotwali,21.14365,79.10526,Sexual Harassment,10,High,3.93,1.54,FALSE,28,Low,18,
NAG2025_0104,2025-07-20,12:11,Afternoon,Seminary Hills,Seminary Hills,21.16175,79.05554,Molestation,2,Medium,2.14,2.88,TRUE,95,High,27,
NAG2025_0105,2025-01-11,13:01,Afternoon,Hudkeshwar,Hudkeshwar,21.09461,79.1318,Eve Teasing,8,Low,0.28,4.73,TRUE,79,High,1,
NAG2025_0106,2025-04-13,09:02,Morning,Pratap Nagar,Pratap Nagar,21.11749,79.0561,Assault,1,Medium,4.93,2.49,FALSE,80,High,25,
NAG2025_0107,2025-05-03,01:25,Night,Beltarodi,Beltarodi,21.07442,79.07933,Kidnapping,6,Low,0.22,0.34,FALSE,100,High,2,
NAG2025_0108,2025-04-11,07:24,Morning,Hudkeshwar,Hudkeshwar,21.08882,79.1283,Eve Teasing,8,High,4.4,2.56,TRUE,51,Medium,1,
NAG2025_0109,2025-09-19,09:02,Morning,Panchpaoli,Panchpaoli,21.14979,79.08855,Kidnapping,2,High,3.93,4.34,FALSE,51,Medium,24,
NAG2025_0110,2025-09-18,18:38,Evening,Mahal,Mahal,21.1432,79.11437,Sexual Harassment,2,High,4.5,1.14,TRUE,82,High,6,
NAG2025_0111,2025-10-26,17:08,Evening,Mahalaxmi Nagar,Mahalaxmi Nagar,21.10344,79.12051,Eve Teasing,10,Medium,4.59,4.93,FALSE,47,Medium,9,
NAG2025_0112,2025-06-18,09:14,Morning,Mahalaxmi Nagar,Mahalaxmi Nagar,21.09824,79.11799,Assault,2,Medium,2.19,4.23,TRUE,100,High,9,
NAG2025_0113,2025-12-17,06:29,Morning,Sitabuldi,Sitabuldi,21.14263,79.08466,Stalking,3,Medium,1.28,4.94,FALSE,74,High,5,
NAG2025_0114,2025-09-28,23:00,Night,Beltarodi,Beltarodi,21.07833,79.07795,Assault,3,High,1.69,3.23,TRUE,96,High,2,
NAG2025_0115,2025-11-01,11:51,Morning,Hingna,Hingna,21.07145,79.02988,Stalking,6,Low,0.49,5.0,TRUE,100,High,7,
NAG2025_0116,2025-02-23,10:03,Morning,Kotwali,Kotwali,21.14602,79.10311,Eve Teasing,4,Low,3.2,1.85,FALSE,76,High,18,
NAG2025_0117,2025-08-28,18:58,Evening,Trimurti Nagar,Trimurti Nagar,21.11344,79.0409,Assault,7,Medium,3.29,0.84,FALSE,59,Medium,28,
NAG2025_0118,2025-01-11,20:02,Evening,Jaripatka,Jaripatka,21.17881,79.0829,Assault,3,Low,2.81,4.98,FALSE,85,High,17,
NAG2025_0119,2025-06-14,02:55,Night,Imamwada,Imamwada,21.13073,79.0874,Domestic Violence,1,Low,4.37,3.78,TRUE,100,High,16,
NAG2025_0120,2025-08-31,17:46,Evening,Lashkaribagh,Lashkaribagh,21.16074,79.09644,Kidnapping,2,High,0.79,3.86,FALSE,75,High,20,
NAG2025_0121,2025-01-09,20:34,Evening,Jaripatka,Jaripatka,21.17779,79.08439,Molestation,2,Medium,1.25,2.06,TRUE,100,High,17,
NAG2025_0122,2025-07-08,13:00,Afternoon,Gittikhadan,Gittikhadan,21.16832,79.04914,Eve Teasing,2,Low,2.75,0.86,FALSE,89,High,15,
NAG2025_0123,2025-04-20,23:51,Night,Panchpaoli,Panchpaoli,21.1572,79.09099,Sexual Harassment,9,Medium,3.26,4.17,FALSE,50,Medium,24,
NAG2025_0124,2025-12-07,05:56,Night,Beltarodi,Beltarodi,21.07741,79.07407,Assault,7,Low,4.01,4.71,FALSE,77,High,2,
NAG2025_0125,2025-12-19,15:33,Afternoon,Hudkeshwar,Hudkeshwar,21.0929,79.1256,Assault,6,Low,0.93,0.87,TRUE,89,High,1,
NAG2025_0126,2025-05-11,04:19,Night,Imamwada,Imamwada,21.13503,79.08676,Kidnapping,8,Medium,0.39,4.18,FALSE,74,High,16,
NAG2025_0127,2025-07-21,14:36,Afternoon,Yashodhara Nagar,Yashodhara Nagar,21.17912,79.12793,Sexual Harassment,6,High,0.25,2.18,TRUE,70,High,4,
NAG2025_0128,2025-10-06,23:24,Night,Yashodhara Nagar,Yashodhara Nagar,21.17887,79.12535,Stalking,8,Medium,0.25,3.83,FALSE,71,High,4,
NAG2025_0129,2025-01-14,04:11,Night,Sitabuldi,Sitabuldi,21.14628,79.08516,Kidnapping,6,Medium,1.37,4.3,TRUE,98,High,5,
NAG2025_0130,2025-02-10,20:22,Evening,Seminary Hills,Seminary Hills,21.17019,79.05481,Domestic Violence,7,High,2.82,2.6,FALSE,38,Low,27,
NAG2025_0131,2025-08-15,11:34,Morning,Wathoda,Wathoda,21.13536,79.13582,Kidnapping,7,Medium,1.39,4.58,FALSE,58,Medium,30,
NAG2025_0132,2025-04-01,17:01,Evening,Beltarodi,Beltarodi,21.07047,79.07791,Sexual Harassment,9,High,1.0,0.26,TRUE,76,High,2,
NAG2025_0133,2025-04-06,19:19,Evening,Jaripatka,Jaripatka,21.18509,79.09059,Eve Teasing,8,Medium,0.45,2.02,FALSE,59,Medium,17,
NAG2025_0134,2025-04-18,15:17,Afternoon,Wardha Road,Wardha Road,21.10256,79.07203,Stalking,3,Medium,0.74,3.56,FALSE,76,High,29,
NAG2025_0135,2025-08-15,14:19,Afternoon,Kalamna,Kalamna,21.15241,79.14326,Kidnapping,10,High,2.09,0.84,TRUE,41,Low,3,
NAG2025_0136,2025-08-10,13:46,Afternoon,Sadar,Sadar,21.16388,79.06881,Molestation,7,Medium,4.74,0.95,FALSE,47,Medium,26,
NAG2025_0137,2025-09-08,01:47,Night,Beltarodi,Beltarodi,21.07547,79.08184,Eve Teasing,2,Medium,0.33,4.82,TRUE,100,High,2,
NAG2025_0138,2025-09-11,09:20,Morning,Jaripatka,Jaripatka,21.17855,79.08281,Domestic Violence,10,Medium,2.45,2.54,FALSE,35,Low,17,
NAG2025_0139,2025-02-06,02:00,Night,Beltarodi,Beltarodi,21.07881,79.07257,Domestic Violence,2,Low,3.14,3.83,TRUE,100,High,2,
NAG2025_0140,2025-08-23,12:01,Afternoon,Kotwali,Kotwali,21.15006,79.11139,Domestic Violence,5,High,1.75,4.54,FALSE,61,Medium,18,
NAG2025_0141,2025-12-16,19:48,Evening,Beltarodi,Beltarodi,21.07823,79.07286,Stalking,1,Medium,4.2,4.5,FALSE,93,High,2,
NAG2025_0142,2025-02-01,17:04,Evening,Jaripatka,Jaripatka,21.18535,79.08878,Assault,2,Medium,4.8,4.19,FALSE,89,High,17,
NAG2025_0143,2025-12-09,15:22,Afternoon,Gittikhadan,Gittikhadan,21.16996,79.04628,Eve Teasing,4,Medium,3.25,3.84,TRUE,74,High,15,
NAG2025_0144,2025-02-03,23:41,Night,Sitabuldi,Sitabuldi,21.14656,79.0825,Sexual Harassment,9,Medium,3.2,4.52,TRUE,79,High,5,
NAG2025_0145,2025-11-26,13:13,Afternoon,Sitabuldi,Sitabuldi,21.1468,79.09001,Eve Teasing,7,Medium,3.84,2.92,FALSE,39,Low,5,
NAG2025_0146,2025-06-20,16:00,Afternoon,Telangkhedi,Telangkhedi,21.16225,79.04722,Molestation,10,Low,3.11,0.42,FALSE,42,Medium,10,
NAG2025_0147,2025-05-20,23:34,Night,Besa,Besa,21.09066,79.09179,Stalking,6,High,2.29,4.97,FALSE,62,Medium,12,
NAG2025_0148,2025-07-30,14:01,Afternoon,Kalamna,Kalamna,21.14983,79.13971,Eve Teasing,10,High,0.96,3.31,FALSE,34,Low,3,
NAG2025_0149,2025-05-20,17:59,Evening,Beltarodi,Beltarodi,21.07328,79.07431,Eve Teasing,4,Medium,2.56,2.41,TRUE,87,High,2,
NAG2025_0150,2025-12-23,06:19,Morning,Trimurti Nagar,Trimurti Nagar,21.11462,79.03788,Sexual Harassment,5,Low,2.27,0.52,FALSE,76,High,28,
NAG2025_0151,2025-02-23,20:14,Evening,Nandanvan,Nandanvan,21.13425,79.13176,Domestic Violence,5,Low,3.0,4.31,FALSE,73,High,23,
NAG2025_0152,2025-08-13,02:24,Night,Hingna,Hingna,21.07383,79.02554,Stalking,9,Low,2.58,4.81,TRUE,88,High,7,
NAG2025_0153,2025-05-18,23:32,Night,Sitabuldi,Sitabuldi,21.1397,79.08358,Assault,9,Medium,3.41,1.79,FALSE,64,Medium,5,
NAG2025_0154,2025-09-06,05:04,Night,Lakadganj,Lakadganj,21.15811,79.11743,Sexual Harassment,7,Medium,2.57,1.42,FALSE,78,High,19,
NAG2025_0155,2025-09-09,02:20,Night,Ajni,Ajni,21.12288,79.08328,Sexual Harassment,6,Medium,0.26,1.99,FALSE,81,High,11,
NAG2025_0156,2025-01-31,03:31,Night,Sadar,Sadar,21.16708,79.07572,Sexual Harassment,9,Medium,2.57,1.83,TRUE,88,High,26,
NAG2025_0157,2025-04-13,16:57,Afternoon,Yashodhara Nagar,Yashodhara Nagar,21.17988,79.12588,Eve Teasing,7,Medium,0.4,1.16,TRUE,82,High,4,
NAG2025_0158,2025-06-10,14:02,Afternoon,Pardi,Pardi,21.14797,79.16147,Eve Teasing,9,Low,4.11,2.44,FALSE,55,Medium,8,
NAG2025_0159,2025-10-22,03:37,Night,Ganeshpeth,Ganeshpeth,21.13881,79.09681,Eve Teasing,3,High,1.23,3.73,FALSE,75,High,14,
NAG2025_0160,2025-04-19,11:17,Morning,Beltarodi,Beltarodi,21.07503,79.08136,Molestation,6,High,0.77,2.96,TRUE,74,High,2,
NAG2025_0161,2025-06-07,04:04,Night,Kalamna,Kalamna,21.15359,79.14399,Stalking,8,Low,1.28,0.99,FALSE,79,High,3,
NAG2025_0162,2025-03-30,17:14,Evening,Seminary Hills,Seminary Hills,21.17043,79.05901,Kidnapping,8,Low,4.4,4.01,FALSE,70,High,27,
NAG2025_0163,2025-03-04,00:53,Night,Kotwali,Kotwali,21.14463,79.10473,Eve Teasing,5,High,1.14,2.97,FALSE,74,High,18,
NAG2025_0164,2025-08-31,19:51,Evening,Pratap Nagar,Pratap Nagar,21.12074,79.05218,Molestation,5,High,4.56,0.55,FALSE,64,Medium,25,
NAG2025_0165,2025-01-13,11:09,Morning,Hingna,Hingna,21.06792,79.02693,Eve Teasing,5,Medium,2.1,4.47,TRUE,87,High,7,
NAG2025_0166,2025-05-01,02:34,Night,Ajni,Ajni,21.12882,79.07914,Assault,6,High,3.78,4.62,FALSE,66,Medium,11,
NAG2025_0167,2025-01-11,19:27,Evening,Hudkeshwar,Hudkeshwar,21.09289,79.12346,Kidnapping,6,Medium,4.87,3.23,TRUE,72,High,1,
NAG2025_0168,2025-08-19,19:21,Evening,Besa,Besa,21.08188,79.08498,Kidnapping,3,High,1.19,1.48,FALSE,82,High,12,
